파일명,TF-IDF_Cosine,Embedding_Cosine
val_038_result_제22대국회 제427회(임시회) 제4차 기획재정위원회(전체회의) (2025.07.18.),0.2390,0.8997
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_3,0.0000,0.4885
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_13,0.0014,0.5700
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_7,0.0000,0.5716
val_021_result_Bro011_chunk_4,0.0005,0.6209
val_008_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(전체회의) (2025.06.26.)_chunk_1,0.0000,0.5182
val_059_result_제22대국회 제426회(임시회) 제1차 과학기술정보방송통신위원회(예산결산심사소위원회) (2025.06.27.)_chunk_2,0.0000,0.4342
val_026_result_ES2015c_chunk_2,0.0002,0.5458
val_061_result_TS3009b_chunk_2,0.0000,0.5904
val_048_result_Bmr006_chunk_2,0.0229,0.5994
val_049_result_Bro028_chunk_3,0.0112,0.5529
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_13,0.0084,0.5609
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_6,0.0125,0.5831
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_17,0.0685,0.5981
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_17,0.0011,0.6019
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_20,0.0008,0.5843
val_042_result_TS3009d_chunk_1,0.0056,0.6085
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_4,0.0006,0.5702
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_10,0.0509,0.8689
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_5,0.0177,0.5727
val_029_result_Bed016_chunk_1,0.0027,0.5146
val_031_result_IS1001b_chunk_2,0.0000,0.5617
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_22,0.0000,0.5726
val_060_result_제22대국회 제420회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.01.06.)_chunk_1,0.0000,0.4453
val_052_result_제22대국회 제426회(임시회) 제2차 법제사법위원회(전체회의) (2025.07.03.)_chunk_3,0.1030,0.9439
val_061_result_TS3009b_chunk_3,0.0149,0.5545
val_009_result_Bmr001_chunk_2,0.0006,0.5265
val_026_result_ES2015c_chunk_3,0.0048,0.6389
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_2,0.0002,0.5627
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_16,0.0004,0.5626
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_13,0.0003,0.5112
val_027_result_제22대국회 제426회(임시회) 제2차 과학기술정보방송통신위원회(전체회의) (2025.06.27.)_chunk_9,0.0126,0.5659
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_15,0.0863,0.9120
val_010_result_Bro003_chunk_3,0.1600,0.8363
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_17,0.2335,0.9448
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_4,0.0006,0.5893
