파일명,TF-IDF_Cosine,Embedding_Cosine
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_21,0.2646,0.8736
val_006_result_Bmr019_chunk_3,0.2575,0.8581
val_044_result_Bed010_chunk_1,0.2298,0.8497
val_042_result_TS3009d_chunk_3,0.2552,0.9477
val_063_result_IS1009d_chunk_2,0.2059,0.9236
val_035_result_IS1000d_chunk_2,0.4507,0.9255
val_010_result_Bro003_chunk_1,0.2461,0.9311
val_040_result_Bmr013_chunk_4,0.3051,0.9279
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_15,0.1782,0.9408
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_19,0.2546,0.9302
val_056_result_Bmr012_chunk_1,0.2051,0.8146
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_2,0.2605,0.8972
val_018_result_제22대국회 제426회(임시회) 제3차 환경노동위원회(전체회의) (2025.07.04.),0.2348,0.9414
val_044_result_Bed010_chunk_5,0.1317,0.8373
val_044_result_Bed010_chunk_4,0.2001,0.9103
val_056_result_Bmr012_chunk_4,0.2732,0.8975
val_025_result_IS1000b_chunk_2,0.5192,0.9727
val_017_result_IS1007b_chunk_2,0.3038,0.8598
val_023_result_제22대국회 제427회(임시회) 제1차 행정안전위원회(법안심사제1소위원회) (2025.07.08.)_chunk_16,0.3000,0.9706
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_4,0.2739,0.9503
val_044_result_Bed010_chunk_2,0.2761,0.9075
val_054_result_제22대국회 제427회(임시회) 제2차 기획재정위원회(전체회의) (2025.07.15.)_chunk_6,0.2182,0.9393
val_002_result_ES2014a,0.3233,0.9821
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_26,0.3283,0.9263
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_26,0.3346,0.9298
val_057_result_제22대국회 제426회(임시회) 제2차 예산결산특별위원회(2025년도제2회추가경정예산안등조정소위원회) (2025.07.04.)_chunk_4,0.2790,0.9676
val_025_result_IS1000b_chunk_3,0.3750,0.9431
val_013_result_제22대국회 제427회(임시회) 제1차 정무위원회(전체회의) (2025.07.15.)_chunk_10,0.2156,0.9297
val_053_result_제22대국회 제427회(임시회) 제2차 농림축산식품해양수산위원회(전체회의) (2025.07.14.)_chunk_19,0.1648,0.9190
val_032_result_TS3010b_chunk_1,0.4319,0.9613
val_066_result_Bed002_chunk_4,0.2203,0.8974
val_021_result_Bro011_chunk_2,0.1531,0.8643
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_23,0.2355,0.9424
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_4,0.2499,0.9243
val_047_result_제22대국회 제427회(임시회) 제2차 산업통상자원중소벤처기업위원회(전체회의) (2025.07.15.)_chunk_8,0.4232,0.9611
val_058_result_Bro004_chunk_3,0.2046,0.9136
val_025_result_IS1000b_chunk_1,0.3390,0.9485
val_020_result_제22대국회 제424회(임시회) 제1차 과학기술정보방송통신위원회(과학기술원자력법안심사소위원회) (2025.04.16.)_chunk_2,0.2369,0.9628
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_3,0.3169,0.9439
val_064_result_제22대국회 제427회(임시회) 제2차 외교통일위원회(전체회의) (2025.07.14.)_chunk_20,0.1996,0.8722
