파일명,TF-IDF_Cosine,Embedding_Cosine
val_029_result_Bed016_chunk_1,0.1275,0.8515
val_030_result_Bed009_chunk_1,0.3618,0.9776
val_046_result_Bmr028_chunk_7,0.3597,0.9006
val_007_result_Bmr025_chunk_3,0.2663,0.8798
val_006_result_Bmr019_chunk_3,0.2935,0.8951
val_048_result_Bmr006_chunk_1,0.2611,0.8581
val_036_result_Bed013_chunk_5,0.3054,0.9047
val_042_result_TS3009d_chunk_2,0.3463,0.8616
val_036_result_Bed013_chunk_1,0.2301,0.8608
val_026_result_ES2015c_chunk_3,0.3208,0.9214
val_030_result_Bed009_chunk_3,0.2107,0.8903
val_030_result_Bed009_chunk_2,0.2849,0.8928
val_036_result_Bed013_chunk_2,0.2065,0.8362
val_006_result_Bmr019_chunk_1,0.3283,0.8813
val_006_result_Bmr019_chunk_5,0.2651,0.9293
val_062_result_TS3006c_chunk_3,0.2611,0.8968
val_045_result_TS3012c_chunk_3,0.3517,0.9225
val_040_result_Bmr013_chunk_2,0.1875,0.8204
val_026_result_ES2015c_chunk_2,0.4514,0.9289
val_006_result_Bmr019_chunk_2,0.3097,0.8882
val_035_result_IS1000d_chunk_2,0.4343,0.9216
val_010_result_Bro003_chunk_5,0.2516,0.9029
val_032_result_TS3010b_chunk_1,0.2289,0.9568
val_004_result_ES2014d_chunk_2,0.2135,0.8726
val_025_result_IS1000b_chunk_2,0.4741,0.9440
val_066_result_Bed002_chunk_1,0.3767,0.9669
val_043_result_ES2007d_chunk_1,0.4382,0.9334
val_063_result_IS1009d_chunk_1,0.4437,0.9726
val_034_result_Bed012_chunk_3,0.1593,0.9367
val_049_result_Bro028_chunk_5,0.3170,0.8640
val_040_result_Bmr013_chunk_6,0.2188,0.9480
val_048_result_Bmr006_chunk_9,0.1563,0.8601
val_063_result_IS1009d_chunk_2,0.3523,0.8996
val_034_result_Bed012_chunk_2,0.2634,0.8914
val_036_result_Bed013_chunk_6,0.2524,0.8435
val_011_result_IS1007d_chunk_2,0.2738,0.9017
val_031_result_IS1001b_chunk_1,0.3214,0.9239
val_044_result_Bed010_chunk_2,0.2812,0.9145
val_030_result_Bed009_chunk_6,0.2502,0.8488
val_056_result_Bmr012_chunk_5,0.1626,0.9019
val_044_result_Bed010_chunk_1,0.2729,0.8877
val_056_result_Bmr012_chunk_2,0.4459,0.9044
val_056_result_Bmr012_chunk_1,0.2044,0.8392
val_058_result_Bro004_chunk_1,0.1934,0.9095
val_009_result_Bmr001_chunk_2,0.4348,0.9519
val_066_result_Bed002_chunk_6,0.3316,0.8963
val_005_result_ES2003b_chunk_2,0.4491,0.9612
val_006_result_Bmr019_chunk_4,0.2875,0.9145
val_046_result_Bmr028_chunk_5,0.2402,0.8952
val_044_result_Bed010_chunk_4,0.2783,0.9113
val_042_result_TS3009d_chunk_1,0.3942,0.9364
val_030_result_Bed009_chunk_5,0.1186,0.8091
val_045_result_TS3012c_chunk_2,0.3083,0.9388
val_048_result_Bmr006_chunk_3,0.2922,0.8410
val_021_result_Bro011_chunk_1,0.2799,0.9111
val_058_result_Bro004_chunk_3,0.3070,0.9322
val_056_result_Bmr012_chunk_3,0.3179,0.9327
val_010_result_Bro003_chunk_3,0.2169,0.8763
val_036_result_Bed013_chunk_3,0.1577,0.9171
val_061_result_TS3009b_chunk_3,0.4404,0.9586
val_004_result_ES2014d_chunk_1,0.3268,0.9072
val_021_result_Bro011_chunk_5,0.3628,0.9454
val_029_result_Bed016_chunk_2,0.2087,0.8487
val_041_result_ES2004a,0.3734,0.9425
val_055_result_ES2007b_chunk_2,0.2392,0.7985
val_049_result_Bro028_chunk_1,0.1574,0.9042
val_012_result_TS3008d_chunk_2,0.3543,0.8873
val_025_result_IS1000b_chunk_3,0.3488,0.9465
val_035_result_IS1000d_chunk_3,0.3360,0.9010
val_019_result_ES2013a,0.2648,0.9424
val_022_result_ES2002c_chunk_2,0.3765,0.9263
val_017_result_IS1007b_chunk_2,0.2404,0.8542
val_056_result_Bmr012_chunk_4,0.2072,0.9105
val_026_result_ES2015c_chunk_1,0.3481,0.9479
val_051_result_TS3010a,0.2521,0.9054
val_009_result_Bmr001_chunk_3,0.3512,0.9103
val_030_result_Bed009_chunk_4,0.2832,0.9273
val_034_result_Bed012_chunk_4,0.2335,0.9027
val_028_result_ES2012d,0.2211,0.9291
val_029_result_Bed016_chunk_4,0.2532,0.8325
val_010_result_Bro003_chunk_6,0.2488,0.9029
val_012_result_TS3008d_chunk_3,0.3220,0.9450
val_002_result_ES2014a,0.3205,0.9615
val_010_result_Bro003_chunk_2,0.2973,0.8579
val_045_result_TS3012c_chunk_4,0.3506,0.9545
val_039_result_IS1009b_chunk_2,0.4778,0.9534
val_046_result_Bmr028_chunk_4,0.1475,0.8830
val_040_result_Bmr013_chunk_5,0.0986,0.8569
val_040_result_Bmr013_chunk_1,0.2771,0.8864
val_046_result_Bmr028_chunk_3,0.1500,0.8299
val_066_result_Bed002_chunk_4,0.4082,0.9122
val_044_result_Bed010_chunk_3,0.2752,0.8488
val_040_result_Bmr013_chunk_4,0.2328,0.9027
val_066_result_Bed002_chunk_3,0.3096,0.8812
val_040_result_Bmr013_chunk_3,0.1393,0.8659
val_007_result_Bmr025_chunk_2,0.3846,0.9146
val_036_result_Bed013_chunk_4,0.2692,0.8764
val_044_result_Bed010_chunk_6,0.2316,0.9105
val_066_result_Bed002_chunk_5,0.2702,0.8995
val_025_result_IS1000b_chunk_1,0.3003,0.9038
